Device:
    Device: SA40060.20190715
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: SA40060I	Thermal Decay 300-275-300

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 10x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 27: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 28: Lockin 6, , KH 6: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 27: Vbg
    Electrode 27: 
	
Experiment: 
    Thermal Decay

Lockin: 
    AO 1: amp = 15.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 100.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
				
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.646064958780476E+9	299.184700000000020E+0	-1.479864772409201E-6	-1.695354427719339E-9	-5.669251628789705E-9	770.314087224141350E-6	-3.396366781024804E-3	114.784875975805840E-6	-189.670039946403460E-6	34.188356606371535E-12	3.357520575396931E-12	19.995136695153228E-9	-246.689883045292750E-9	-308.142187369105510E-9	-1.885212760417374E-6	-10.363902256494078E-12	-15.169336377940372E-12	-28.465168734436663E-6	6.334066185814872E-6	-23.768969857197906E-6	10.046462044185412E-6	-1.174841761638606E-12	677.408772187135100E-15	386.340575491036880E-9	206.872366982568310E-9	860.798559849101020E-9	567.894963948613840E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	438.745862303440330E+6	19.174048603616338E+6
3.646064961326278E+9	299.209200000000010E+0	-1.479864772409201E-6	-1.679341260179550E-9	-5.642596355924818E-9	831.380758613650900E-6	-3.370905062156522E-3	173.795866139209890E-6	-201.674425334005530E-6	34.176371481481017E-12	1.115474686251199E-12	187.178693247961550E-9	-103.239440204755980E-9	-551.452719289351270E-9	-40.553011648802627E-9	-11.825299527344444E-12	52.545377810660112E-12	73.047169576774193E-6	32.142530772455133E-6	67.754297712068704E-6	21.678488045954061E-6	-879.982247177562750E-15	4.031651405221057E-12	313.622275462915650E-9	225.884581155196610E-9	-684.366590812502480E-9	-97.115625048116934E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	438.899723691497680E+6	19.240921840715691E+6
3.646064963613600E+9	299.236699999999980E+0	-1.479864772409201E-6	-1.641761595533929E-9	-5.662669952830403E-9	849.741091046746420E-6	-3.459840001939376E-3	188.328883756710230E-6	-275.953096041315860E-6	34.985189999358963E-12	1.128139813379627E-12	561.670745748894790E-9	-33.937999388221470E-9	1.487433673280779E-6	-1.591065981002241E-6	38.600166513593922E-12	-23.859814879797298E-12	-7.123691566956669E-6	-67.385015107887387E-6	-11.592769689476920E-6	-59.572402600461383E-6	2.218889797194295E-12	-2.598451812223506E-12	235.055945184523080E-9	-105.376341739845030E-9	-418.503011654421640E-9	-124.800751450678150E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	428.752852286205830E+6	18.905491360834550E+6
3.646064965776927E+9	299.265300000000020E+0	-1.479864772409201E-6	-1.681686078602114E-9	-5.670116095044750E-9	748.251054562249270E-6	-3.416746736024061E-3	93.408724209221791E-6	-213.243007694017490E-6	37.617190431974875E-12	1.503729706855339E-12	320.145481948067020E-9	-438.550783745453370E-9	1.419118906208871E-6	-1.537852466232155E-6	6.147119670248940E-12	-26.528344536114148E-12	-31.156478641553066E-6	-21.403642021250669E-6	-29.641182046779516E-6	-14.402948708494515E-6	652.770145790066230E-15	-727.827451643043410E-15	-108.147323096394340E-9	-849.258921485051010E-9	303.679831273102850E-9	975.527102793501180E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	398.753863001153170E+6	17.408060592329800E+6
3.646064968067493E+9	299.299699999999970E+0	-1.479864772409201E-6	-1.683023133901712E-9	-5.693910685095618E-9	734.030266966625550E-6	-3.441351280908734E-3	79.593169511339910E-6	-240.163374111467610E-6	35.703131682523520E-12	-1.176633546062801E-12	-898.321558450503580E-9	380.970593617240940E-9	-1.121980822561454E-6	1.549551589797195E-6	-23.541837146399460E-12	3.472469503016126E-12	-10.905654489880892E-6	29.319164710563685E-6	-5.349524871441923E-6	29.663628683145314E-6	-64.852529454057635E-15	622.509077589882410E-15	250.404526384766700E-9	135.976212582853300E-9	-217.001414052797700E-9	-787.199458528528550E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	420.131212392844920E+6	18.329963412582904E+6
3.646064970153915E+9	299.340399999999990E+0	-1.479864772409201E-6	-1.688694411335855E-9	-5.686257283452301E-9	717.132063848995630E-6	-3.393914182722735E-3	72.928137376918574E-6	-188.900718410688340E-6	33.048149700591679E-12	-467.854928180307690E-15	720.563573925917370E-9	-73.304120896343596E-9	-2.457635052023404E-6	-1.644007900962727E-6	-18.839455311639041E-12	22.877420853780737E-12	23.912934296261726E-6	27.045453252137841E-6	24.808846730460408E-6	23.300144829034342E-6	-278.779085108819690E-15	2.935187478397405E-12	42.421119365076767E-9	453.398818413317270E-9	-824.022531973913890E-9	-1.063138870603292E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	453.883201809977470E+6	19.492889384380378E+6
3.646064972420271E+9	299.382099999999980E+0	-1.479864772409201E-6	-1.666003207978508E-9	-5.668047959640813E-9	778.111798593715740E-6	-3.443479742426880E-3	113.519854422814600E-6	-246.913970639751710E-6	35.347674707361744E-12	2.883134546821949E-12	159.790623281497200E-9	-751.843063742394820E-9	-1.786264592888306E-6	-1.307001339039075E-6	22.919492274372217E-12	-25.967884891707468E-12	-27.123512890512861E-6	-44.825344508887521E-6	-28.925869486907629E-6	-35.130783817985327E-6	249.941185725837050E-15	-772.924198230615840E-15	513.114217436167460E-9	297.686177932078250E-9	-684.364564750058640E-9	682.340088269681270E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	424.356060877633870E+6	18.801574634624798E+6
3.646064974498189E+9	299.424300000000020E+0	-1.479864772409201E-6	-1.669260056541884E-9	-5.713247567198658E-9	665.324238230534710E-6	-3.482341281142151E-3	6.201673486855964E-6	-252.900424086808010E-6	37.078333380042229E-12	-3.332436317919530E-12	-8.176090450435768E-9	311.403228965857590E-9	-1.809444641725109E-6	-1.826860381415709E-6	-47.851688209649850E-12	12.666331495856945E-12	-461.791268758390160E-9	68.853435759354598E-6	7.608867615374645E-6	61.563621581288061E-6	-2.227345998005235E-12	1.851243925346833E-12	238.038867327362400E-9	11.386487004387371E-9	-1.417934447316058E-6	159.580421132611320E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	404.548927435716270E+6	17.776488441048913E+6
3.646064976841088E+9	299.468300000000000E+0	-1.479864772409201E-6	-1.687325839960414E-9	-5.679821492517248E-9	736.156826092565740E-6	-3.396251739358121E-3	88.308151106005105E-6	-194.574278297922890E-6	34.002356586604342E-12	601.852799439663390E-15	637.186812612698460E-9	-18.481653307785166E-9	79.171312230584624E-9	960.985653833707990E-9	-9.618120529318928E-12	4.525537878128455E-12	6.918104793738490E-6	12.578831359173381E-6	7.435547421716266E-6	11.205849416174134E-6	-120.240787312646420E-15	-2.462394191292499E-12	478.635417791697240E-9	-502.657093573699720E-9	204.878236739766790E-9	-979.458107983301360E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	441.145894161625210E+6	19.053052200558025E+6
3.646064978973798E+9	299.519299999999990E+0	-1.479864772409201E-6	-1.685658710613841E-9	-5.675325480639886E-9	737.037405749249040E-6	-3.377826435181289E-3	96.233933900115740E-6	-186.372047418560750E-6	35.187925935653137E-12	2.935328741341523E-12	-699.414615246435980E-9	-132.611730671279250E-9	-259.364813872446590E-9	1.485844923439646E-6	4.318505988222511E-12	-163.011241456956980E-15	1.399200745739913E-6	-8.508382683683787E-6	706.098600189618390E-9	-9.025511135264620E-6	-469.720877782474060E-15	407.869596130973130E-15	298.147206018518240E-9	-573.127210287568310E-9	-742.876062120268620E-9	534.820938075610060E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	426.282584186119620E+6	18.210890662352394E+6
