Device:
    Device: SA40060G.20190606
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    300k test
    

Lockin: 
    AO 1: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.642688959051968E+9	299.207299999999970E+0	-1.479864772409201E-6	5.514611306281120E-6	-793.467339351424870E-9	26.820838018463143E-6	-8.537562109137443E-6	17.910557228655280E-6	-4.431952686361352E-6	2.207369610151153E-6	-1.038396405094338E-6	20.759476626238623E-9	625.785268327532010E-9	953.557988713178270E-9	-134.197306487913180E-9	3.026374611037249E-6	-259.768883891374460E-9	-256.355274195122100E-9	-460.585338296836500E-9	411.026329810541410E-9	840.794709046553280E-9	6.384153598974786E-6	6.680919909193935E-6	3.381057006280354E-6	4.963078886148578E-6	727.548692946614740E-9	1.248076874132073E-6	289.926645945109420E-9	-167.136474414492520E-9	49.243950515140687E-9	-178.848894721876390E-9	616.342655199629440E-9	1.072603848195219E-6	-391.525985664510220E-9	39.519229223123839E-9	0.000000000000000E+0	4.036605717878719E+0
3.642688962449748E+9	299.115599999999970E+0	-1.479864772409201E-6	2.560384674082247E-6	-4.470266187452693E-6	15.009255719858017E-6	-18.560050442573087E-6	10.531079704539307E-6	-11.992506276897546E-6	1.261006398185752E-6	-1.739785301231735E-6	-198.304228111677940E-9	-64.444614086194398E-9	29.844269509895215E-9	776.591442775737640E-9	1.523680755458196E-6	-1.283471988390121E-6	238.527431448275300E-9	-1.346685927460298E-6	2.042910127393614E-6	-179.405074315265780E-9	9.363380744894527E-6	-4.206002509775426E-6	8.903649690204244E-6	-2.504390290363554E-6	1.162983244756024E-6	-1.326085755914465E-6	298.536452555793550E-9	-168.075958250961050E-9	713.845390924587450E-9	-425.316228681619780E-9	1.173176149998719E-6	-817.479486274456700E-9	-349.029918398081730E-9	697.908811364817950E-9	0.000000000000000E+0	3.551271446173148E+0
3.642688964802705E+9	299.026000000000010E+0	-1.479864772409201E-6	-2.384297618090357E-6	4.954923103958270E-6	-2.867705234628786E-6	23.661535168571387E-6	-1.088770524051240E-6	13.023280076491752E-6	362.331106862294450E-9	3.462581954415212E-6	-194.575225867279680E-9	-178.420258475342860E-9	-415.941676038771240E-9	765.498327695010850E-9	-1.877349107973983E-6	2.972887820083125E-6	71.821986235841694E-9	638.201872524144520E-9	1.665969147254469E-6	-2.002113997731482E-6	4.198704209098039E-6	-13.442925889641681E-6	3.250931375774059E-6	-5.872718279656665E-6	-669.987228284264130E-9	-1.266958278024270E-6	414.839035424907480E-9	-372.155787586135030E-9	-561.622988789722600E-9	-84.745664080343532E-9	431.502370908520860E-9	-1.581543024345260E-6	-638.346873949117980E-9	1.092761946981813E-6	0.000000000000000E+0	-4.909693583812661E+0
3.642688967822552E+9	298.948899999999980E+0	-1.479864772409201E-6	2.847714272569791E-6	1.397015429322549E-6	23.205537701327300E-6	6.874052267560104E-6	16.039590772038480E-6	3.528544683722548E-6	2.662316299558636E-6	934.298586374444520E-9	-53.507218049287974E-9	-144.995060012854850E-9	-542.841215417996810E-9	-345.152255304878250E-9	1.651947913056425E-6	1.594745348755505E-6	229.886713006423600E-9	510.487509901565280E-9	-1.476850406889221E-6	2.022564460361156E-6	-2.095132422249928E-6	10.294762479605408E-6	-1.408743469391284E-6	7.461662894317055E-6	-284.539183934862940E-9	1.106276394735875E-6	188.179537429847430E-9	-47.903380614285013E-9	497.997985499472490E-9	423.175873628531550E-9	-331.850407026141700E-9	775.124892328520230E-9	-191.288580525719150E-9	-759.110566810276870E-9	0.000000000000000E+0	2.691621176070178E+0
3.642688970368219E+9	298.890400000000000E+0	-1.479864772409201E-6	-4.416750105854816E-3	-1.072515478857883E-3	33.772348717075233E-3	-7.458158487866190E-3	9.388566220840739E-3	-1.881747040815175E-3	4.160241890937307E-3	-607.510112244324960E-6	-357.131530708264720E-9	-442.121479362024590E-9	-269.730200800801630E-9	-62.728477643987676E-9	247.409241507663020E-9	4.907997022304296E-6	-596.712718564997250E-9	-678.050279287732400E-9	-823.165920858506280E-9	-2.877840921637852E-6	-6.455455122372306E-6	8.676777962128565E-6	-1.437173347969841E-6	-867.949021765760910E-9	-469.645890235949970E-9	1.458760285969063E-6	40.579493023226143E-9	-97.618341202124640E-9	-367.667036026060510E-9	401.290049541186590E-9	-697.718243161486950E-9	-1.044578842826379E-6	-142.480956230762050E-9	-181.053122200933650E-9	1.201853192933812E+0	5.861145369780602E+0
3.642688973055897E+9	298.822900000000000E+0	-1.479864772409201E-6	-4.274492256749552E-3	-1.040038931261614E-3	32.663995619840673E-3	-7.201942589435616E-3	9.077840266919844E-3	-1.816557986532640E-3	4.023160986090416E-3	-585.170119777572390E-6	201.592376508280980E-9	-299.777581528755620E-9	-719.995252099916030E-9	-658.564545326097480E-9	167.042101776785290E-9	3.935310872331595E-6	1.205631152653176E-6	-437.349460568931160E-9	-1.171412054755042E-6	-639.071734189028540E-9	-4.978018266588006E-6	657.023581494987110E-9	-1.492270012826011E-6	-2.057631710826548E-6	-942.179102818979910E-9	-735.744175002961790E-12	23.255426124688566E-9	468.835181960036670E-9	-142.954529185370500E-9	439.316304829684950E-9	-873.610081761154320E-9	278.766816080893810E-9	183.385285378038960E-9	-18.001450738387252E-9	1.242803859275551E+0	5.862592979616541E+0
3.642688975745217E+9	298.772699999999990E+0	-1.479864772409201E-6	-4.272809037756581E-3	-1.032750700600164E-3	32.669610813000217E-3	-7.161109924031702E-3	9.081828614610517E-3	-1.790361477448149E-3	4.021558325987967E-3	-581.198781822888010E-6	144.664013531661190E-9	-99.711068057640811E-9	407.653052732871050E-9	-281.305188708414400E-9	-62.114338187212590E-9	8.627930993710275E-6	351.917527776895890E-9	-57.993069897533012E-9	1.271690169231889E-6	-925.302471576251790E-9	3.864441525469848E-6	-5.589247793520598E-6	4.731835290237680E-6	-2.258908745792000E-6	100.481854620066960E-9	-14.067997880108765E-9	-258.527753076261260E-9	274.209609557813580E-9	-878.075253280340300E-9	-1.541839019302625E-6	943.635248250153730E-9	284.725366061826210E-9	-682.810426354986920E-9	-248.609513939976530E-9	1.243299137970767E+0	5.865333854780023E+0
3.642688978516486E+9	298.708800000000000E+0	-1.479864772409201E-6	-4.266662343788787E-3	-1.041213221983571E-3	32.693238711372814E-3	-7.203199263025881E-3	9.092459949974180E-3	-1.816406885254741E-3	4.022493298842056E-3	-584.456405191018670E-6	306.200806902913820E-9	284.471836144636110E-9	-173.039916790777150E-9	128.498274232986050E-9	3.042955587107026E-6	4.336487955539245E-6	497.741058681253340E-9	104.319804057685940E-9	-408.214312916852070E-9	740.637632083541570E-9	6.349051587044998E-6	2.991701169091755E-6	3.338111039194399E-6	1.282587248312893E-6	101.936287227271410E-9	1.097017844158010E-6	84.114089111571603E-9	-38.671425494971414E-9	-171.556188417459600E-9	-867.188915599861170E-9	-447.008523411048170E-9	-46.053479851283464E-9	633.508895033589760E-9	-360.509486135581420E-9	1.243010150306363E+0	5.867201511110665E+0
3.642688981389226E+9	298.657100000000010E+0	-1.479864772409201E-6	-4.271159011909117E-3	-1.036558095670531E-3	32.654490057657283E-3	-7.184917054477922E-3	9.065690789519416E-3	-1.804910674092926E-3	4.015968394211895E-3	-583.345028338916700E-6	-383.484486631674200E-9	165.502152850642520E-9	712.008820233529040E-9	-665.246466872439270E-9	-2.025933701190741E-6	6.304207796988257E-6	-875.743999222093080E-9	876.528431612752530E-9	158.099652751754290E-9	500.080016047971410E-9	2.247265173937012E-6	9.308542250509285E-6	-412.596547500581490E-9	6.029829355664926E-6	93.481672969617293E-9	1.772444362580510E-6	-122.558714822228040E-9	238.115803986935350E-9	-770.277951522923110E-9	565.075874608621380E-9	-495.337145994367670E-9	1.392449471571024E-6	-360.474662842226960E-9	-194.177491725149080E-9	1.245029718661721E+0	5.873751223275501E+0
3.642688984121154E+9	298.612900000000020E+0	-1.479864772409201E-6	-4.268802508916382E-3	-1.034052607452375E-3	32.662858708514889E-3	-7.175311607548129E-3	9.069965278217107E-3	-1.795702386032944E-3	4.016235876491670E-3	-581.278984556358060E-6	2.083681219577410E-9	169.267575202022860E-9	413.265483540075690E-9	346.188397067921520E-9	-469.758243290493840E-9	7.746069726484906E-6	-670.613380428191590E-9	327.806832822633700E-9	2.157295744217044E-6	-503.944344709737040E-9	8.764732708573577E-6	427.901228676354770E-9	9.252643292464694E-6	2.861282177814891E-6	931.378630792747110E-9	102.405405319891410E-9	-17.207715634931116E-9	17.903538325667453E-9	-180.475252469519360E-9	1.817713821504872E-9	1.345707036310857E-6	310.629864488234380E-12	-565.485664211722570E-9	-513.095543098683930E-9	1.244946799381635E+0	5.874379432840245E+0
