Device:
    Device: SA40060G.20190606
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    Config test
    

Lockin: 
    AO 1: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.642678396317971E+9	300.003800000000010E+0	-1.479864772409201E-6	-4.997178437154821E-3	-893.247310016746870E-6	27.743996960788650E-3	-5.836452842145480E-3	10.779548107616345E-3	-2.026863009627733E-3	4.747808783962570E-3	-682.907194459745570E-6	27.504620325869697E-9	117.270629969305890E-9	-318.168716588914790E-9	-73.997675400042687E-9	-8.289516194187998E-6	1.237676751530360E-6	-311.449497930995650E-9	24.198508410633429E-9	7.873374621565501E-6	-220.089915047229090E-9	43.572828020572595E-6	-5.990161294075879E-6	23.057570330420281E-6	-2.780575535014859E-6	4.865899744242728E-6	-547.586357807297060E-9	79.950829842309879E-9	86.513034935518409E-9	-228.977949857911970E-9	-1.455593237629408E-6	4.287162569970010E-6	-223.370616907387090E-9	337.655066518035570E-9	-57.746602093922718E-9	1.053117391098247E+0	3.573111223534491E+0
3.642678399678636E+9	299.999900000000020E+0	-1.479864772409201E-6	-4.972314022569857E-3	-875.561290914924270E-6	27.894090318565642E-3	-5.744690091385968E-3	10.862791746496415E-3	-1.978458840570148E-3	4.765959085064612E-3	-671.150020444497140E-6	-100.283163411026860E-9	-27.887866238629429E-9	-1.170570580600500E-6	-74.653525209336502E-9	6.913803179962825E-6	13.317939701059267E-6	983.337980138477920E-9	-625.944593542984850E-9	4.653178039906802E-6	7.325831029576253E-6	29.994787633349649E-6	38.073104644942579E-6	14.716832077805640E-6	21.115023557812416E-6	3.325836215109004E-6	4.943468530841225E-6	-146.148849539494030E-9	-46.189246440007401E-9	300.128531086194490E-9	-154.678358436761060E-9	2.407309181984189E-6	5.096592216245860E-6	-180.787696237109030E-9	-352.622195683983190E-9	1.049106782235881E+0	3.573530168448421E+0
3.642678402605526E+9	300.014200000000020E+0	-1.479864772409201E-6	-4.970270669653153E-3	-896.509975192451620E-6	27.887379911061962E-3	-5.875392367399946E-3	10.858900281153565E-3	-2.045479237071980E-3	4.764512396346652E-3	-687.613410094597720E-6	161.926431854684080E-9	245.460516834199700E-9	177.913207309324520E-9	195.275368881484310E-9	8.708352507613033E-6	210.973918678463610E-9	-382.156471087848000E-9	-426.857081884209960E-9	-3.904633509272095E-6	-3.745630847202242E-6	-24.347240598462271E-6	-15.274283311987975E-6	-11.380674042210428E-6	-9.017934000625043E-6	-2.646776293769944E-6	-2.295487522720254E-6	469.829068552463610E-9	-232.624067723350160E-9	-136.832984078164880E-9	-5.387702401872611E-9	-1.821596143730118E-6	-2.859100252814514E-6	-100.510952324530180E-9	-744.035537573918440E-9	1.049425331296003E+0	3.574023575416772E+0
3.642678405745576E+9	300.009099999999990E+0	-1.479864772409201E-6	-4.975570435407876E-3	-870.820113917045840E-6	27.870006007232981E-3	-5.723310429793100E-3	10.849683645301889E-3	-1.966933696215963E-3	4.761337990175790E-3	-667.363421089919470E-6	211.137933793704590E-9	619.277879225011500E-9	287.613177926669350E-9	-515.196607643176820E-9	4.340023177636943E-6	16.443734029655192E-6	641.616457533487090E-9	-47.986518887928323E-9	-1.673340252141491E-6	5.074960574779156E-6	-6.826278121639351E-6	33.294514172431367E-6	-2.456507723668488E-6	17.695445304071319E-6	-1.286549611618479E-6	3.671774829972815E-6	-81.155888080766014E-9	116.718885259065050E-9	176.933946904397250E-9	-21.414110797950956E-9	-1.703476179132870E-6	3.244642320455836E-6	256.902960799074120E-9	678.307426123413730E-9	1.050124988042573E+0	3.574693163360725E+0
3.642678409201303E+9	300.003699999999980E+0	-1.479864772409201E-6	-4.974785402883022E-3	-899.027216583282500E-6	27.849408729164516E-3	-5.896182535005489E-3	10.841956866389647E-3	-2.055218520948303E-3	4.760209410009161E-3	-689.178225815664380E-6	310.776076742107050E-9	172.375418468635020E-9	1.359632315033692E-6	-455.681306105237270E-9	5.805063049788839E-6	-2.419589429641523E-6	611.236134173529590E-9	236.377576484064930E-9	-5.534742054249384E-6	-3.013532176526578E-6	-37.467262636602440E-6	-5.230732170515909E-6	-17.666085598440753E-6	-5.721866368492042E-6	-5.067163916629196E-6	-1.224370677790475E-6	-126.285582712350040E-9	-179.691506583198300E-9	22.094994702169119E-9	-1.224827965710922E-6	-3.602836922562808E-6	-2.134200171718611E-6	501.089875509223680E-9	39.470426988130788E-9	1.050373958231047E+0	3.572836906505367E+0
3.642678411980421E+9	300.004900000000020E+0	-1.479864772409201E-6	-4.994360155523258E-3	-898.080341276797510E-6	27.738455882682925E-3	-5.856967286680504E-3	10.783773793406511E-3	-2.038421223352694E-3	4.743885968309177E-3	-685.071232147708490E-6	-105.023820317335230E-9	332.532538868768470E-9	-104.781749590644920E-9	-1.933037263576942E-6	-7.330583062080561E-6	53.092798429005121E-9	384.237386695355970E-9	-139.425655455915810E-9	3.876393744057437E-6	3.362002818976175E-6	23.651491216745717E-6	19.196464497573865E-6	13.653899932470998E-6	8.860969859516569E-6	3.225676979818253E-6	2.179474380015709E-6	320.538965382905520E-9	176.599114559661930E-9	155.639612414417280E-9	-763.085224551187230E-9	1.929211115189365E-6	2.086802916220822E-6	-613.271249562520210E-9	213.707801737333960E-9	1.053988235257288E+0	3.574007090924959E+0
3.642678414420123E+9	300.004000000000020E+0	-1.479864772409201E-6	-4.994221377022284E-3	-882.046923579493850E-6	27.739878804830292E-3	-5.774999794821880E-3	10.784111987833545E-3	-1.996063250074437E-3	4.744791068123564E-3	-674.892654087854590E-6	-295.868535399019220E-9	-326.872071806468550E-9	-426.456932126158530E-9	-1.054256582925632E-6	-7.826905909273650E-6	8.808636711712662E-6	228.334267279618860E-9	-131.314965550678900E-9	2.676197630267605E-6	-5.964311551033279E-6	15.471277486477397E-6	-36.573206965732039E-6	8.577033533356933E-6	-19.016760613452253E-6	2.175883449218499E-6	-5.317571553610071E-6	-86.812469382744996E-9	331.646575425815110E-9	-539.645208100782180E-9	-14.203629846333035E-9	2.725691376042597E-6	-3.954665976172085E-6	211.943871379872830E-9	108.085350107471430E-9	1.053787180133384E+0	3.573553940216442E+0
3.642678416758999E+9	300.003100000000020E+0	-1.479864772409201E-6	-4.967178515252038E-3	-877.321371585484410E-6	27.892963851909768E-3	-5.758124597966427E-3	10.857993521299019E-3	-1.983996198408974E-3	4.762032103513053E-3	-671.291147189861180E-6	208.867929426388810E-9	-188.865634745625830E-9	-606.692455668294070E-9	-220.567499330220430E-9	7.152978536726771E-6	12.919241200171743E-6	200.133449237406210E-9	113.673567051439210E-9	6.121460549437762E-6	4.524965244277915E-6	39.355222654730236E-6	19.997472299708534E-6	20.764439367455101E-6	14.071576084663213E-6	4.564092110965176E-6	2.906564742221239E-6	-238.208287344501850E-9	-220.260662849719350E-9	262.197656511561180E-9	-598.603616783650390E-9	3.571883646224119E-6	3.278344474224333E-6	1.096222833861801E-6	64.250295059033519E-9	1.049971921926228E+0	3.577248107597529E+0
3.642678419454392E+9	300.002200000000020E+0	-1.479864772409201E-6	-4.964562065501598E-3	-892.492854211723100E-6	27.902334982323196E-3	-5.850683788294210E-3	10.863075677280582E-3	-2.029540335037185E-3	4.762387014746118E-3	-683.357439347567980E-6	266.510588173198320E-9	31.984988697831489E-9	31.199234026022065E-9	295.014373118974590E-9	9.461651552356443E-6	3.358505141386625E-6	-604.378890322140250E-9	39.507820934228664E-9	-1.660229137450368E-6	-7.817073235950461E-6	-11.854959834035058E-6	-40.992676437896483E-6	-5.027722187362852E-6	-20.901119151161524E-6	-1.476237430132411E-6	-5.740747601422901E-6	-331.625835373906750E-9	-104.035738863068300E-9	-684.067180780678180E-9	-455.426894162454250E-9	-521.306337527907990E-9	-5.151218705378120E-6	-218.562831810137270E-9	435.488852021179960E-9	1.049893674016443E+0	3.577882110858009E+0
3.642678421805727E+9	299.997700000000010E+0	-1.479864772409201E-6	-4.980856546854598E-3	-872.914235194201160E-6	27.799412124160650E-3	-5.724856829911640E-3	10.816493563356183E-3	-1.967146696313417E-3	4.749142705333912E-3	-667.176038275964010E-6	-68.566990524415579E-9	204.010021720237660E-9	315.566653084532980E-9	-800.543019214568260E-9	-2.571330809772656E-6	14.650831844927347E-6	-795.845097878819630E-9	358.013555936499520E-9	-7.486683906356563E-6	-395.100226098769130E-9	-42.836190749107862E-6	5.159149809950070E-6	-22.166668374900545E-6	942.068455223866650E-9	-5.938074048120324E-6	873.511131441596300E-9	17.369405069159828E-9	129.291743490140360E-9	-667.287574130881280E-9	322.398001733856880E-9	-4.997665425624303E-6	-1.146772712425752E-6	20.873506868985404E-9	23.117764104226583E-9	1.052821595439603E+0	3.575996682881399E+0
